date_id,full_date,year,month,quarter,day_of_week,is_weekend,is_month_end,week_number
20230101,2023-01-01,2023,January,Q1,Sunday,True,False,52
20230102,2023-01-02,2023,January,Q1,Monday,False,False,1
20230103,2023-01-03,2023,January,Q1,Tuesday,False,False,1
20230104,2023-01-04,2023,January,Q1,Wednesday,False,False,1
20230105,2023-01-05,2023,January,Q1,Thursday,False,False,1
20230106,2023-01-06,2023,January,Q1,Friday,False,False,1
20230107,2023-01-07,2023,January,Q1,Saturday,True,False,1
20230108,2023-01-08,2023,January,Q1,Sunday,True,False,1
20230109,2023-01-09,2023,January,Q1,Monday,False,False,2
20230110,2023-01-10,2023,January,Q1,Tuesday,False,False,2
20230111,2023-01-11,2023,January,Q1,Wednesday,False,False,2
20230112,2023-01-12,2023,January,Q1,Thursday,False,False,2
20230113,2023-01-13,2023,January,Q1,Friday,False,False,2
20230114,2023-01-14,2023,January,Q1,Saturday,True,False,2
20230115,2023-01-15,2023,January,Q1,Sunday,True,False,2
20230116,2023-01-16,2023,January,Q1,Monday,False,False,3
20230117,2023-01-17,2023,January,Q1,Tuesday,False,False,3
20230118,2023-01-18,2023,January,Q1,Wednesday,False,False,3
20230119,2023-01-19,2023,January,Q1,Thursday,False,False,3
20230120,2023-01-20,2023,January,Q1,Friday,False,False,3
20230121,2023-01-21,2023,January,Q1,Saturday,True,False,3
20230122,2023-01-22,2023,January,Q1,Sunday,True,False,3
20230123,2023-01-23,2023,January,Q1,Monday,False,False,4
20230124,2023-01-24,2023,January,Q1,Tuesday,False,False,4
20230125,2023-01-25,2023,January,Q1,Wednesday,False,False,4
20230126,2023-01-26,2023,January,Q1,Thursday,False,False,4
20230127,2023-01-27,2023,January,Q1,Friday,False,False,4
20230128,2023-01-28,2023,January,Q1,Saturday,True,False,4
20230129,2023-01-29,2023,January,Q1,Sunday,True,False,4
20230130,2023-01-30,2023,January,Q1,Monday,False,False,5
20230131,2023-01-31,2023,January,Q1,Tuesday,False,True,5
20230201,2023-02-01,2023,February,Q1,Wednesday,False,False,5
